index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
226	5	0.25	20	20	400
227	5	0.25	20	20	800
228	5	0.25	20	40	200
229	5	0.25	20	40	400
230	5	0.25	20	40	800
231	5	0.25	20	100	200
232	5	0.25	20	100	400
233	5	0.25	20	100	800
234	5	0.25	40	2	200
235	5	0.25	40	2	400
236	5	0.25	40	2	800
237	5	0.25	40	5	200
238	5	0.25	40	5	400
239	5	0.25	40	5	800
240	5	0.25	40	10	200
241	5	0.25	40	10	400
242	5	0.25	40	10	800
243	5	0.25	40	20	200
244	5	0.25	40	20	400
245	5	0.25	40	20	800
246	5	0.25	40	40	200
247	5	0.25	40	40	400
248	5	0.25	40	40	800
249	5	0.25	40	100	200
250	5	0.25	40	100	400
251	5	0.25	40	100	800
252	5	0.25	100	2	200
253	5	0.25	100	2	400
254	5	0.25	100	2	800
255	5	0.25	100	5	200
256	5	0.25	100	5	400
257	5	0.25	100	5	800
258	5	0.25	100	10	200
259	5	0.25	100	10	400
260	5	0.25	100	10	800
261	5	0.25	100	20	200
262	5	0.25	100	20	400
263	5	0.25	100	20	800
264	5	0.25	100	40	200
265	5	0.25	100	40	400
266	5	0.25	100	40	800
267	5	0.25	100	100	200
268	5	0.25	100	100	400
269	5	0.25	100	100	800
270	5	0.5	1	2	200
271	5	0.5	1	2	400
272	5	0.5	1	2	800
273	5	0.5	1	5	200
274	5	0.5	1	5	400
275	5	0.5	1	5	800
276	5	0.5	1	10	200
277	5	0.5	1	10	400
278	5	0.5	1	10	800
279	5	0.5	1	20	200
280	5	0.5	1	20	400
281	5	0.5	1	20	800
282	5	0.5	1	40	200
283	5	0.5	1	40	400
284	5	0.5	1	40	800
285	5	0.5	1	100	200
286	5	0.5	1	100	400
287	5	0.5	1	100	800
288	5	0.5	10	2	200
289	5	0.5	10	2	400
290	5	0.5	10	2	800
291	5	0.5	10	5	200
292	5	0.5	10	5	400
293	5	0.5	10	5	800
294	5	0.5	10	10	200
295	5	0.5	10	10	400
296	5	0.5	10	10	800
297	5	0.5	10	20	200
298	5	0.5	10	20	400
299	5	0.5	10	20	800
300	5	0.5	10	40	200
301	5	0.5	10	40	400
302	5	0.5	10	40	800
303	5	0.5	10	100	200
304	5	0.5	10	100	400
305	5	0.5	10	100	800
306	5	0.5	20	2	200
307	5	0.5	20	2	400
308	5	0.5	20	2	800
309	5	0.5	20	5	200
310	5	0.5	20	5	400
311	5	0.5	20	5	800
312	5	0.5	20	10	200
313	5	0.5	20	10	400
314	5	0.5	20	10	800
315	5	0.5	20	20	200
316	5	0.5	20	20	400
317	5	0.5	20	20	800
318	5	0.5	20	40	200
319	5	0.5	20	40	400
320	5	0.5	20	40	800
321	5	0.5	20	100	200
322	5	0.5	20	100	400
323	5	0.5	20	100	800
324	5	0.5	40	2	200
325	5	0.5	40	2	400
326	5	0.5	40	2	800
327	5	0.5	40	5	200
328	5	0.5	40	5	400
329	5	0.5	40	5	800
330	5	0.5	40	10	200
331	5	0.5	40	10	400
332	5	0.5	40	10	800
333	5	0.5	40	20	200
334	5	0.5	40	20	400
335	5	0.5	40	20	800
336	5	0.5	40	40	200
337	5	0.5	40	40	400
338	5	0.5	40	40	800
339	5	0.5	40	100	200
340	5	0.5	40	100	400
341	5	0.5	40	100	800
342	5	0.5	100	2	200
343	5	0.5	100	2	400
344	5	0.5	100	2	800
345	5	0.5	100	5	200
346	5	0.5	100	5	400
347	5	0.5	100	5	800
348	5	0.5	100	10	200
349	5	0.5	100	10	400
350	5	0.5	100	10	800
351	5	0.5	100	20	200
352	5	0.5	100	20	400
353	5	0.5	100	20	800
354	5	0.5	100	40	200
355	5	0.5	100	40	400
356	5	0.5	100	40	800
357	5	0.5	100	100	200
358	5	0.5	100	100	400
359	5	0.5	100	100	800
360	5	0.75	1	2	200
361	5	0.75	1	2	400
362	5	0.75	1	2	800
363	5	0.75	1	5	200
364	5	0.75	1	5	400
365	5	0.75	1	5	800
366	5	0.75	1	10	200
367	5	0.75	1	10	400
368	5	0.75	1	10	800
369	5	0.75	1	20	200
370	5	0.75	1	20	400
371	5	0.75	1	20	800
372	5	0.75	1	40	200
373	5	0.75	1	40	400
374	5	0.75	1	40	800
375	5	0.75	1	100	200
376	5	0.75	1	100	400
377	5	0.75	1	100	800
378	5	0.75	10	2	200
379	5	0.75	10	2	400
380	5	0.75	10	2	800
381	5	0.75	10	5	200
382	5	0.75	10	5	400
383	5	0.75	10	5	800
384	5	0.75	10	10	200
385	5	0.75	10	10	400
386	5	0.75	10	10	800
387	5	0.75	10	20	200
388	5	0.75	10	20	400
389	5	0.75	10	20	800
390	5	0.75	10	40	200
391	5	0.75	10	40	400
392	5	0.75	10	40	800
393	5	0.75	10	100	200
394	5	0.75	10	100	400
395	5	0.75	10	100	800
396	5	0.75	20	2	200
397	5	0.75	20	2	400
398	5	0.75	20	2	800
399	5	0.75	20	5	200
400	5	0.75	20	5	400
401	5	0.75	20	5	800
402	5	0.75	20	10	200
403	5	0.75	20	10	400
404	5	0.75	20	10	800
