	Avg_F2	Avg_GeoMean	Avg_Precision	Avg_ROCAUC	Avg_Recall	Avg_ThrshAcc	index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	run_time
137	0.269642	0.33	0.554917	0.8575520000000001	0.305696	0.890468	1087.0	300.0	0.25	1.0	50.0	200.0	3472.4429999999998
138	0.0	0.002	0.46961	0.8011590000000001	0.000143	0.8726450000000001	95.0	20.0	0.03	10.0	100.0	500.0	2179.486
139	0.0	0.001	0.458358	0.787582	3.4e-05	0.8726450000000001	931.0	300.0	0.01	10.0	50.0	200.0	1057.976
140	0.234566	0.292	0.546186	0.8523	0.269884	0.8884479999999999	735.0	100.0	0.1	5.0	10.0	100.0	1680.626
141	0.185591	0.228	0.472376	0.814459	0.21156799999999998	0.8837280000000001	1192.0	300.0	0.49	500.0	10.0	200.0	2942.4320000000002
142	0.002708	0.051	0.48553	0.8068609999999999	0.021738	0.8728600000000001	608.0	100.0	0.01	1.0	50.0	500.0	2517.946
143	0.21634899999999999	0.253	0.512213	0.836449	0.245959	0.88626	219.0	20.0	0.25	50.0	10.0	100.0	1801.598
144	0.134722	0.188	0.465109	0.808312	0.157271	0.8806870000000001	1136.0	300.0	0.25	500.0	50.0	500.0	4093.405
145	0.0	0.0	0.456984	0.7864300000000001	2.3e-05	0.8726450000000001	628.0	100.0	0.01	10.0	10.0	200.0	1335.4170000000001
146	0.0	0.0	0.43303400000000003	0.769125	0.0	0.8726450000000001	647.0	100.0	0.01	50.0	100.0	500.0	1981.424
147	0.23576100000000003	0.275	0.51663	0.8399270000000001	0.270534	0.8871020000000001	884.0	100.0	0.49	50.0	50.0	500.0	10161.940999999999
148	0.078162	0.168	0.509969	0.828417	0.127297	0.8783030000000001	372.0	50.0	0.03	5.0	2.0	100.0	937.173
149	0.0	0.0	0.41552	0.7620140000000001	0.0	0.8726450000000001	418.0	50.0	0.03	500.0	100.0	200.0	839.3710000000001
150	0.003918	0.051	0.469642	0.802793	0.025551	0.8729399999999999	399.0	50.0	0.03	50.0	10.0	100.0	586.719
151	0.18449400000000002	0.22699999999999998	0.472926	0.814567	0.21034099999999997	0.883667	293.0	20.0	0.49	500.0	10.0	500.0	7954.48
152	0.236175	0.27899999999999997	0.5164810000000001	0.840024	0.271893	0.8871049999999999	883.0	100.0	0.49	50.0	50.0	200.0	4316.237
153	0.136614	0.18899999999999997	0.465142	0.808584	0.15771	0.880813	836.0	100.0	0.25	500.0	50.0	500.0	4666.983
154	0.0	0.0	0.384233	0.731061	0.0	0.8726450000000001	55.0	20.0	0.01	500.0	50.0	200.0	618.938
155	0.284551	0.353	0.552323	0.856784	0.321116	0.890892	846.0	100.0	0.49	1.0	50.0	100.0	4097.366
156	0.0	0.0	0.459261	0.788931	1.1e-05	0.8726450000000001	625.0	100.0	0.01	10.0	2.0	200.0	893.232
157	0.078431	0.16899999999999998	0.514515	0.8303149999999999	0.12925999999999999	0.8783780000000001	376.0	50.0	0.03	5.0	10.0	200.0	1367.165
158	0.0	0.001	0.450589	0.789779	4e-05	0.8726450000000001	105.0	20.0	0.03	50.0	100.0	100.0	631.533
159	0.004483	0.054000000000000006	0.473537	0.805283	0.029106	0.872985	401.0	50.0	0.03	50.0	10.0	500.0	2367.08
160	0.298061	0.376	0.5527	0.8564959999999999	0.335173	0.891324	1156.0	300.0	0.49	5.0	10.0	200.0	5504.255999999999
161	1.8e-05	0.008	0.46426999999999996	0.792896	0.001644	0.8726459999999999	615.0	100.0	0.01	5.0	10.0	100.0	645.83
162	0.004007999999999999	0.057	0.48482700000000006	0.8070109999999999	0.026189999999999998	0.872973	907.0	300.0	0.01	1.0	50.0	200.0	988.9
163	0.21181999999999998	0.258	0.5358149999999999	0.8476950000000001	0.24424099999999999	0.8868790000000001	451.0	50.0	0.1	10.0	50.0	200.0	1693.5810000000001
164	0.0	0.0	0.375657	0.727957	0.0	0.8726450000000001	651.0	100.0	0.01	500.0	10.0	100.0	351.465
165	0.001633	0.040999999999999995	0.476987	0.803135	0.016956	0.87277	909.0	300.0	0.01	1.0	100.0	100.0	410.852
166	0.16072999999999998	0.218	0.505384	0.8305370000000001	0.187935	0.883239	467.0	50.0	0.1	50.0	100.0	500.0	4113.627
167	0.24340799999999999	0.27399999999999997	0.534458	0.8474790000000001	0.279163	0.888215	191.0	20.0	0.25	1.0	100.0	500.0	15244.431999999999
168	0.0	0.0	0.434109	0.770184	0.0	0.8726450000000001	10.0	20.0	0.01	1.0	100.0	200.0	697.4830000000001
169	0.05667899999999999	0.142	0.50575	0.826152	0.10913699999999998	0.876776	691.0	100.0	0.03	10.0	50.0	200.0	1407.691
170	0.0	0.0	0.42475799999999997	0.764724	0.0	0.8726450000000001	336.0	50.0	0.01	50.0	2.0	100.0	446.075
171	0.162423	0.21899999999999997	0.504588	0.8301200000000001	0.190486	0.883344	1056.0	300.0	0.1	50.0	2.0	100.0	1121.01
172	0.106829	0.19399999999999998	0.523958	0.8367100000000001	0.154863	0.88036	667.0	100.0	0.03	1.0	50.0	200.0	1282.095
173	0.280047	0.34700000000000003	0.543108	0.852935	0.315774	0.890166	567.0	50.0	0.49	10.0	10.0	100.0	2613.908
174	0.216823	0.253	0.514359	0.837885	0.245548	0.8863270000000001	1126.0	300.0	0.25	50.0	100.0	200.0	3270.7729999999997
175	0.0	0.004	0.472583	0.803191	0.00045700000000000005	0.8726450000000001	89.0	20.0	0.03	10.0	10.0	500.0	3224.038
176	0.0	0.0	0.41646000000000005	0.762313	0.0	0.8726450000000001	718.0	100.0	0.03	500.0	100.0	200.0	1013.928
177	0.093667	0.18	0.5188229999999999	0.833417	0.140663	0.8794420000000001	976.0	300.0	0.03	5.0	10.0	200.0	1583.9129999999998
178	0.21330500000000002	0.259	0.538571	0.848462	0.245565	0.887117	446.0	50.0	0.1	10.0	2.0	500.0	3717.3579999999997
179	0.318782	0.41700000000000004	0.556661	0.8583219999999999	0.35647199999999996	0.892483	843.0	100.0	0.49	1.0	10.0	100.0	3370.571
180	0.18542	0.228	0.472901	0.814562	0.211306	0.8837149999999999	899.0	100.0	0.49	500.0	100.0	500.0	6566.69
181	0.0	0.001	0.458342	0.7883	2.8999999999999997e-05	0.8726450000000001	928.0	300.0	0.01	10.0	10.0	200.0	1052.162
182	0.282801	0.34299999999999997	0.5518029999999999	0.8563350000000001	0.318748	0.890742	1160.0	300.0	0.49	5.0	50.0	500.0	11876.87
183	0.24914899999999998	0.28300000000000003	0.541126	0.851347	0.283369	0.8887709999999999	515.0	50.0	0.25	10.0	100.0	500.0	7116.66
184	0.0	0.001	0.4522	0.783949	4e-05	0.8726450000000001	930.0	300.0	0.01	10.0	50.0	100.0	533.036
